제조사,비행기모델,ICAO CODE,IATA CODE,비행기구분,비행기크기,CLASS,엔진타입,엔진수,최초운항일,생산수량,단가,상태,조종석수,승객수,길이(m),높이(m),운송범위(km)
CURTISS,Curtiss C-46 Commando,C46,CWC,LandPlane,MEDIUM,Military transport aircraft,Piston,2,1940-03-26,3181,,Production completed (1945),5,40,23.3,6.6,870
CONVAIR,Convair CV-240 / CV-440,CVLP,CV4,LandPlane,MEDIUM,Airliner,Piston,2,1947-03-16,1181,,Production completed (1954),3,40,22.8,8.2,1900
LOCKHEED,Lockheed L-1049 Super Constellation,CONI,L49,LandPlane,MEDIUM,Airliner,Piston,4,1951-07-14,259,,Production completed (1958),5,106,34.6,7.5,8288
DOUGLAS,Douglas DC-6,DC6,D6F,LandPlane,MEDIUM,Airliner/transport aircraft,Piston,4,1946-02-15,704,,Production completed (1958),4,68,30.7,8.7,7377
DE HAVILLAND CANADA,DHC-2 Turbo Beaver,DH2T,DHR,LandPlane,LOW,STOLutility transport,Turboprop/Turboshaft,1,1947-08-16,1657,,Production completed (1967),1,6,9.2,2.7,732
DE HAVILLAND CANADA,DHC-2 Beaver,DHC2,DHP,LandPlane,LOW,STOLutility transport,Piston,1,1947-08-16,1657,,Production completed (1967),1,6,9.2,2.7,732
DE HAVILLAND CANADA,DHC-3 Otter,DHC3,DHL,LandPlane,LOW,STOL utility transport,Piston,1,1951-12-12,466,0.1,Production completed (1967),2,11,12.8,3.8,1524
DE HAVILLAND,DH.104 Dove,DOVE,DHD,LandPlane,LOW,short-haul airliner,Piston,2,1945-09-25,544,0.1,Production completed (1967),2,8,12,4.1,1420
DE HAVILLAND CANADA,DHC-4 Caribou,DHC4,DHC,LandPlane,MEDIUM,STOL Transport,Piston,2,1958-07-30,307,,Production completed (1968),2,30,22.1,9.7,2104
GULFSTREAM AEROSPACE,Aerospace G-159 Gulfstream I,G159,GRS,LandPlane,MEDIUM,Business aircraft,Turboprop/Turboshaft,2,1958-08-14,200,,Production completed (1969),2,24,19.4,6.9,4090
SIKORSKY,Sikorsky S-58T,S58T,S58,Helicopter,LOW,Helicopter,Turboprop/Turboshaft,1,1954-03-08,2108,,Production completed (1970),2,12,17.3,4.9,293
DOUGLAS,Douglas DC-8-50,DC85,D8T,LandPlane,HIGH,Narrow-body airliner,Jet,4,1958-05-30,,,Production completed (1972),2,189,45.9,,10843
DOUGLAS,Douglas DC-8-62,DC86,D8L,LandPlane,HIGH,Narrow-body airliner,Jet,4,,,,Production completed (1972),2,189,48,,9600
DOUGLAS,Douglas DC-8-72,DC87,D8Q,LandPlane,HIGH,Narrow-body airliner,Jet,4,,,,Production completed (1972),2,189,48,,9600
NAMC,NAMC YS-11,YS11,YS1,LandPlane,MEDIUM,Turbopropairliner,Turboprop/Turboshaft,2,1962-08-30,182,2,Production completed (1974),2,64,26.3,9,1090
AEROSPATIALE,Aerospatiale N 262,N262,ND2,LandPlane,MEDIUM,Turboprop airliner,Turboprop/Turboshaft,2,1962-12-24,110,,Production completed (1976),2,29,19.3,6.2,1110
AEROSPATIALE,Aerospatiale SN.601 Corvette,S601,NDC,LandPlane,LOW,Business jet,Jet,2,1970-07-16,40,,Production completed (1977),2,14,13.8,4.2,2555
CESSNA,Cessna 310,C310,,LandPlane,LOW,Twin-engine cabin monoplane,Piston,2,1953-01-03,5449,0.2,Production completed (1980),1,4,8.2,3.2,1600
Pilatus Britten-Norman,BN-2A Mk III Trislander,TRIS,BNT,LandPlane,LOW,Airliner,Piston,3,1970-09-11,72,,Production completed (1980),2,17,15,4.3,
DOUGLAS,Douglas DC-9-10,DC91,D91,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1965-02-25,137,5.2,Production completed (1982),2,109,31.8,8.4,2400
DOUGLAS,Douglas DC-9-20,DC92,D92,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1968-09-18,10,,Production completed (1982),2,109,31.8,8.4,2800
DOUGLAS,Douglas DC-9-30,DC93,D93,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1966-08-01,621,,Production completed (1982),2,127,36.4,8.5,2800
DOUGLAS,Douglas DC-9-40,DC94,D94,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,,71,,Production completed (1982),2,128,38.3,8.7,2200
DOUGLAS,Douglas DC-9-50,DC95,D95,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,,96,,Production completed (1982),2,139,40.7,8.8,2400
Piper,Piper PA-31 Navajo,PA31,PA2,LandPlane,LOW,Civil utility aircraft,Piston,2,1964-09-30,3942,,Production completed (1984),2,7,9.9,4,1165
CESSNA,Cessna 152,C152,,LandPlane,LOW,Basic trainer,Piston,1,,7584,,Production completed (1985),1,1,7.3,2.6,768
CESSNA,Cessna Citation I,C500,CNJ,LandPlane,LOW,Corporate jet,Jet,2,1969-09-15,688,4.9,Production completed (1985),2,5,13.3,4.4,2459
ILYUSHIN,Ilyushin IL18,IL18,IL8,LandPlane,MEDIUM,urbopropairlinerandreconnaissance aircraft,Turboprop/Turboshaft,4,1957-07-04,678,24.5,Production completed (1985),9,120,35.9,10.2,6500
GAF,GAF Nomad,NOMA,CD2,LandPlane,LOW,lightutility aircraft,Turboprop/Turboshaft,2,1971-07-23,172,1,Production completed (1985),2,16,14.3,5.5,1352
CESSNA,Cessna 210 Centurion,C210,CN1,LandPlane,LOW,Light aircraft,Piston,1,1957-01-01,9240,,Production completed (1986),1,5,8.6,3,1700
DE HAVILLAND CANADA,DHC-5 Buffalo,DHC5,DHC,LandPlane,MEDIUM,Utility aircraft,Turboprop/Turboshaft,2,1964-04-09,122,,Production completed (1986),3,41,24.1,8.7,1100
MITSUBISHI,Mitsubishi Mu-2,MU2,MU2,LandPlane,LOW,Utility transport aircraft,Turboprop/Turboshaft,2,1963-09-14,704,,Production completed (1986),2,12,12,4.2,2334
SHORT,Short SC.7 Skyvan,SC7,SHS,LandPlane,LOW,Utility aircraft,Turboprop/Turboshaft,2,1963-01-17,149,0.7,Production completed (1986),2,19,12.2,4.6,1115
FOKKER,F-27 Firefighter,F27,F27,LandPlane,MEDIUM,Regional airliner,Turboprop/Turboshaft,2,1955-11-24,586,1.6,Production completed (1987),3,56,25.1,8.7,2600
TUPOLEV,Tupolev Tu-134,T134,TU3,LandPlane,MEDIUM,Airliner,Jet,2,1963-07-29,854,,Production completed (1989),5,84,37.1,9,3000
EMBRAER,EMB 110 Bandeirante,E110,EMB,LandPlane,LOW,TurbopropRegional airliner,Turboprop/Turboshaft,2,1988-10-26,501,,Production completed (1990),2,18,15.1,4.9,1964
SHORT,Short 330,SH33,SH3,LandPlane,MEDIUM,National origin,Turboprop/Turboshaft,2,1994-08-22,141,,Production completed (1992),3,,17.7,5,1695
ILYUSHIN,Ilyushin IL62,IL62,IL6,LandPlane,HIGH,Narrow-bodyjet airliner,Jet,4,1963-01-03,292,,Production completed (1995),5,186,53.1,12.4,10000
FOKKER,Fokker 100,F100,100,LandPlane,MEDIUM,Narrow-body Regional jet airliner,Jet,2,1986-11-30,283,,Production completed (1997),2,122,35.5,8.5,2450
FOKKER,Fokker 50,F50,F50,LandPlane,MEDIUM,Turbopropregional airliner,Turboprop/Turboshaft,2,1985-12-28,213,0.2,Production completed (1997),2,,25.3,8.3,1700
FOKKER,Fokker 70,F70,F70,LandPlane,MEDIUM,Regional jet,Jet,2,1993-04-04,47,,Production completed (1997),2,85,30.9,8.5,3410
SAAB,Saab 2000,SB20,S20,LandPlane,MEDIUM,TurbopropRegional airliner,Turboprop/Turboshaft,2,1992-03-26,63,,Production completed (1999),2,58,27.3,7.7,2869
SAAB,Saab 340,SF34,SF3,LandPlane,MEDIUM,Turboprop regional airliner,Turboprop/Turboshaft,2,1983-01-25,459,,Production completed (1999),3,34,19.7,7,1732
CESSNA,"Cessna Citation III, VI, VII",C650,CNJ,LandPlane,MEDIUM,Business jet,Jet,2,1979-05-30,360,9.8,Production completed (2000),2,9,16.9,5.1,4348
McDonnell Douglas,McDonnell Douglas MD-11,MD11,M11,LandPlane,HIGH,Wide-body jet airliner,Jet,3,1990-01-10,200,147.5,Production completed (2000),3,323,61.6,17.7,12455
EMBRAER,EMB 120 Brasilia,E120,EM2,LandPlane,MEDIUM,Turboprop Regional airliner,Turboprop/Turboshaft,2,1983-07-27,354,,Production completed (2001),3,30,20,6.4,1750
